"Date","Price","Open","High","Low","Vol.","Change %"
"11/14/2025","4,103.76","4,189.10","4,214.25","4,033.09","265.78K","-2.16%"
"11/13/2025","4,194.50","4,202.40","4,250.00","4,148.50","4.47K","-0.45%"
"11/12/2025","4,213.60","4,132.20","4,218.50","4,104.40","296.80K","2.36%"
"11/11/2025","4,116.30","4,124.00","4,155.00","4,102.80","252.25K","-0.14%"
"11/10/2025","4,122.00","4,007.20","4,124.00","4,004.20","253.81K","2.80%"
"11/07/2025","4,009.80","3,986.90","4,035.80","3,981.60","208.65K","0.47%"
"11/06/2025","3,991.00","3,992.40","4,028.70","3,973.20","188.69K","-0.05%"
"11/05/2025","3,992.90","3,939.50","4,000.70","3,935.70","175.16K","0.82%"
"11/04/2025","3,960.50","4,013.70","4,018.00","3,937.10","250.26K","-1.33%"
"11/03/2025","4,014.00","4,001.00","4,043.10","3,971.30","227.07K","0.44%"
"10/31/2025","3,996.50","4,038.20","4,059.90","3,982.30","237.17K","-0.48%"
"10/30/2025","4,015.90","3,942.80","4,041.50","3,925.10","246.32K","0.75%"
"10/29/2025","3,986.20","3,930.90","4,030.00","3,926.50","1.34K","0.44%"
"10/28/2025","3,968.70","3,985.10","4,015.00","3,890.70","1.36K","-0.92%"
"10/27/2025","4,005.50","4,066.30","4,101.60","3,973.00","2.12K","-3.20%"
"10/24/2025","4,137.80","4,144.00","4,159.00","4,055.70","297.60K","-0.19%"
"10/23/2025","4,145.60","4,114.80","4,171.50","4,079.60","271.97K","1.97%"
"10/22/2025","4,065.40","4,137.00","4,175.00","4,021.20","468.71K","-1.06%"
"10/21/2025","4,109.10","4,371.00","4,393.60","4,093.00","535.33K","-5.74%"
"10/20/2025","4,359.40","4,269.00","4,398.00","4,229.70","338.24K","3.47%"
"10/17/2025","4,213.30","4,348.10","4,392.00","4,196.00","569.85K","-2.12%"
"10/16/2025","4,304.60","4,225.10","4,346.70","4,214.50","375.20K","2.45%"
"10/15/2025","4,201.60","4,160.10","4,235.80","4,157.30","309.91K","0.92%"
"10/14/2025","4,163.40","4,130.90","4,190.90","4,105.00","405.99K","0.74%"
